trait,scope,check,statistic,p_value,status,notes
pigment_over_wound,overall_strata_thicket,PH_treatment,3.306,0.069,PASS,"cox.zph chisq=3.31, df=1"
pigment_over_wound,overall_strata_thicket,PH_GLOBAL,3.306,0.069,PASS,"cox.zph chisq=3.31, df=1"
pigment_over_wound,overall_strata_thicket,EPV,10,NA,PASS,"n_event=10, n_covariates=1 (rule of thumb: EPV >= 10)"
pigment_over_wound,overall_strata_thicket,HR_direction,1.604,0.4751,PASS,HR(31C vs 28C)=1.6 — faster onset under 31C
pigment_over_wound,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
pigment_over_wound,genet_a,fit,NA,NA,FAIL,coxph() failed or skipped (insufficient events)
pigment_over_wound,genet_c,PH_treatment,6.589,0.0103,FAIL,"cox.zph chisq=6.59, df=1"
pigment_over_wound,genet_c,PH_GLOBAL,6.589,0.0103,FAIL,"cox.zph chisq=6.59, df=1"
pigment_over_wound,genet_c,schoenfeld_plot,NA,NA,WARN,plot saved: figures/diagnostics/C_pigment_over_wound_genet_c_schoenfeld.png
pigment_over_wound,genet_c,EPV,5,NA,WARN,"n_event=5, n_covariates=1 (rule of thumb: EPV >= 10)"
pigment_over_wound,genet_c,HR_direction,5.464,0.1374,PASS,HR(31C vs 28C)=5.46 — faster onset under 31C
pigment_over_wound,genet_d,PH_treatment,0,1,FAIL,"cox.zph chisq=0, df=1"
pigment_over_wound,genet_d,PH_GLOBAL,0,1,FAIL,"cox.zph chisq=0, df=1"
pigment_over_wound,genet_d,EPV,3,NA,WARN,"n_event=3, n_covariates=1 (rule of thumb: EPV >= 10)"
pigment_over_wound,genet_d,HR_direction,0,0.9993,PASS,HR(31C vs 28C)=0 — slower onset under 31C
tip_exist,overall_strata_thicket,PH_treatment,0.256,0.6127,PASS,"cox.zph chisq=0.26, df=1"
tip_exist,overall_strata_thicket,PH_GLOBAL,0.256,0.6127,PASS,"cox.zph chisq=0.26, df=1"
tip_exist,overall_strata_thicket,EPV,24,NA,PASS,"n_event=24, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_exist,overall_strata_thicket,HR_direction,0.666,0.3683,PASS,HR(31C vs 28C)=0.67 — slower onset under 31C
tip_exist,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
tip_exist,genet_a,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
tip_exist,genet_a,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_exist,genet_a,HR_direction,0.312,0.1884,PASS,HR(31C vs 28C)=0.31 — slower onset under 31C
tip_exist,genet_c,PH_treatment,0.279,0.5974,WARN,"cox.zph chisq=0.28, df=1"
tip_exist,genet_c,PH_GLOBAL,0.279,0.5974,WARN,"cox.zph chisq=0.28, df=1"
tip_exist,genet_c,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_exist,genet_c,HR_direction,1.341,0.679,PASS,HR(31C vs 28C)=1.34 — faster onset under 31C
tip_exist,genet_d,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
tip_exist,genet_d,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_exist,genet_d,HR_direction,0.562,0.455,PASS,HR(31C vs 28C)=0.56 — slower onset under 31C
tip_extension,overall_strata_thicket,PH_treatment,2.552,0.1101,PASS,"cox.zph chisq=2.55, df=1"
tip_extension,overall_strata_thicket,PH_GLOBAL,2.552,0.1101,PASS,"cox.zph chisq=2.55, df=1"
tip_extension,overall_strata_thicket,EPV,22,NA,PASS,"n_event=22, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_extension,overall_strata_thicket,HR_direction,0.804,0.6131,PASS,HR(31C vs 28C)=0.8 — slower onset under 31C
tip_extension,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
tip_extension,genet_a,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
tip_extension,genet_a,EPV,8,NA,WARN,"n_event=8, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_extension,genet_a,HR_direction,1,1,PASS,HR(31C vs 28C)=1 — slower onset under 31C
tip_extension,genet_c,PH_treatment,3.401,0.0651,WARN,"cox.zph chisq=3.4, df=1"
tip_extension,genet_c,PH_GLOBAL,3.401,0.0651,WARN,"cox.zph chisq=3.4, df=1"
tip_extension,genet_c,EPV,7,NA,WARN,"n_event=7, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_extension,genet_c,HR_direction,0.893,0.8844,PASS,HR(31C vs 28C)=0.89 — slower onset under 31C
tip_extension,genet_d,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
tip_extension,genet_d,EPV,7,NA,WARN,"n_event=7, n_covariates=1 (rule of thumb: EPV >= 10)"
tip_extension,genet_d,HR_direction,0.562,0.455,PASS,HR(31C vs 28C)=0.56 — slower onset under 31C
new_corallites_on_tip,overall_strata_thicket,PH_treatment,3.56,0.0592,PASS,"cox.zph chisq=3.56, df=1"
new_corallites_on_tip,overall_strata_thicket,PH_GLOBAL,3.56,0.0592,PASS,"cox.zph chisq=3.56, df=1"
new_corallites_on_tip,overall_strata_thicket,EPV,16,NA,PASS,"n_event=16, n_covariates=1 (rule of thumb: EPV >= 10)"
new_corallites_on_tip,overall_strata_thicket,HR_direction,0.217,0.0095,PASS,HR(31C vs 28C)=0.22 — slower onset under 31C
new_corallites_on_tip,by_wound,applicability,NA,NA,PASS,N/A — only wounded corals at risk in source script
new_corallites_on_tip,genet_a,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
new_corallites_on_tip,genet_a,EPV,4,NA,WARN,"n_event=4, n_covariates=1 (rule of thumb: EPV >= 10)"
new_corallites_on_tip,genet_a,HR_direction,0,0.9992,PASS,HR(31C vs 28C)=0 — slower onset under 31C
new_corallites_on_tip,genet_c,PH_treatment,0.429,0.5125,WARN,"cox.zph chisq=0.43, df=1"
new_corallites_on_tip,genet_c,PH_GLOBAL,0.429,0.5125,WARN,"cox.zph chisq=0.43, df=1"
new_corallites_on_tip,genet_c,EPV,7,NA,WARN,"n_event=7, n_covariates=1 (rule of thumb: EPV >= 10)"
new_corallites_on_tip,genet_c,HR_direction,0.637,0.5561,PASS,HR(31C vs 28C)=0.64 — slower onset under 31C
new_corallites_on_tip,genet_d,PH_GLOBAL,NA,NA,FAIL,cox.zph() failed
new_corallites_on_tip,genet_d,EPV,5,NA,WARN,"n_event=5, n_covariates=1 (rule of thumb: EPV >= 10)"
new_corallites_on_tip,genet_d,HR_direction,0.135,0.08,PASS,HR(31C vs 28C)=0.14 — slower onset under 31C
