trait,check,statistic,p_value,status,notes
polyps_out,pred_p_hot_end,0.7332106813540831,NA,PASS,"predicted at day 15, 31C"
tip_exist,convergence,0,NA,HANDLED,handled by penalized blme refit in script 12c: boundary (singular) fit: see help('isSingular')
tip_exist,singular_fit,1,NA,WARN,isSingular=TRUE; RE variance ~0
tip_exist,re_var_id,5.6659514241438895,NA,PASS,variance > 1e-4
tip_exist,re_var_tank,0,NA,WARN,Near-zero variance component
tip_exist,max_fixed_effect_SE,32891.42880418224,NA,HANDLED,Likely separation; handled by penalized blme refit in script 12c
tip_exist,DHARMa_uniformity_KS,0.0486053719650954,0.3244789594945461,PASS,KS test on scaled residuals
tip_exist,DHARMa_dispersion,1.0305010208903376,0.86,PASS,ratio=1.03
tip_exist,DHARMa_outliers,3,0.19922693070948244,PASS,binomial outlier test
tip_exist,pred_p_ambient_end,0.9965331283888835,NA,PASS,"predicted at day 15, 28C"
tip_exist,pred_p_hot_end,0.997705341555764,NA,PASS,"predicted at day 15, 31C"
tip_extension,convergence,0,NA,HANDLED,"handled by penalized blme refit in script 12c: Model failed to converge with max|grad| = 0.0275847 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting."
tip_extension,singular_fit,0,NA,PASS,non-singular
tip_extension,re_var_id,20.75273235753648,NA,PASS,variance > 1e-4
tip_extension,re_var_tank,2.25209974315136e-6,NA,WARN,Near-zero variance component
tip_extension,max_fixed_effect_SE,0.002753078658029664,NA,PASS,SE in plausible range
tip_extension,DHARMa_uniformity_KS,0.033930085374352825,0.7685983871126343,PASS,KS test on scaled residuals
tip_extension,DHARMa_dispersion,0.9749250614115044,0.944,PASS,ratio=0.975
tip_extension,DHARMa_outliers,4,0.06946322261108695,PASS,binomial outlier test
tip_extension,pred_p_ambient_end,0.9998782188720301,NA,PASS,"predicted at day 15, 28C"
tip_extension,pred_p_hot_end,0.9517455258170179,NA,PASS,"predicted at day 15, 31C"
wound_smoothed,convergence,0,NA,HANDLED,"handled by penalized blme refit in script 12c: Model failed to converge with max|grad| = 0.0487519 (tol = 0.002, component 1)
  See ?lme4::convergence and ?lme4::troubleshooting.; Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?; Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?"
wound_smoothed,singular_fit,0,NA,PASS,non-singular
wound_smoothed,re_var_id,1852.4180756979183,NA,PASS,variance > 1e-4
wound_smoothed,re_var_tank,52.06171376236899,NA,PASS,variance > 1e-4
wound_smoothed,max_fixed_effect_SE,0.001802254564857659,NA,PASS,SE in plausible range
wound_smoothed,DHARMa_uniformity_KS,0.03922605732191975,0.5958473295706012,PASS,KS test on scaled residuals
wound_smoothed,DHARMa_dispersion,0.30304731719334466,0,HANDLED,ratio=0.303 underdispersion expected for saturated closure trait; closure inference uses interval-censored timing/event summaries
wound_smoothed,DHARMa_outliers,1,1,PASS,binomial outlier test
wound_smoothed,DHARMa_dispersion_refit,NA,NA,HANDLED,skipped refit=TRUE; underdispersion already handled as saturated closure trait
wound_smoothed,pred_p_ambient_end,0.9999999999999998,NA,PASS,"predicted at day 15, 28C"
wound_smoothed,pred_p_hot_end,0.9999999999999998,NA,PASS,"predicted at day 15, 31C"
