Sample_ID,Temp_C,Day,Wound,Tank,Genotype,Fragment_ID,SampleType,BiopsyDate,Notes,Plate,WoundOrder
28C_T3_C_D10_U_id279,28.0,10.0,U,3.0,C,279.0,gene,2025-06-14 00:00:00,,1.0,1.0
28C_T3_C_D10_W_id291,28.0,10.0,W,3.0,C,291.0,gene,2025-06-14 00:00:00,tip with extension,1.0,0.0
28C_T3_D_D10_U_id204,28.0,10.0,U,3.0,D,204.0,gene,2025-06-14 00:00:00,,2.0,1.0
28C_T3_D_D10_W_id258,28.0,10.0,W,3.0,D,258.0,gene,2025-06-14 00:00:00,tip with extension,2.0,0.0
28C_T6_A_D10_U_id199,28.0,10.0,U,6.0,A,199.0,gene,2025-06-14 00:00:00,,2.0,1.0
28C_T6_A_D10_W_id135,28.0,10.0,W,6.0,A,135.0,gene,2025-06-14 00:00:00,wound is smooth and tip exists but without extension,2.0,0.0
28C_T6_C_D10_U_id267,28.0,10.0,U,6.0,C,267.0,gene,2025-06-14 00:00:00,,2.0,1.0
28C_T6_C_D10_W_id292,28.0,10.0,W,6.0,C,292.0,gene,2025-06-14 00:00:00,tip has extension,2.0,0.0
28C_T6_D_D10_U_id232,28.0,10.0,U,6.0,D,232.0,gene,2025-06-14 00:00:00,,1.0,1.0
28C_T6_D_D10_W_id248,28.0,10.0,W,6.0,D,248.0,gene,2025-06-14 00:00:00,tip with extension,1.0,0.0
28C_T9_A_D10_U_id137,28.0,10.0,U,9.0,A,137.0,gene,2025-06-14 00:00:00,chlorophyll sample with branch,1.0,1.0
28C_T9_A_D10_W_id189,28.0,10.0,W,9.0,A,189.0,gene,2025-06-14 00:00:00,tip with extension,1.0,0.0
28C_T9_C_D10_U_id253,28.0,10.0,U,9.0,C,253.0,gene,2025-06-14 00:00:00,,1.0,1.0
28C_T9_C_D10_W_id285,28.0,10.0,W,9.0,C,285.0,gene,2025-06-14 00:00:00,tip with extension,1.0,0.0
28C_T9_D_D10_U_id217,28.0,10.0,U,9.0,D,217.0,gene,2025-06-14 00:00:00,"weird grey tip, tip with branch",2.0,1.0
28C_T9_D_D10_W_id237,28.0,10.0,W,9.0,D,237.0,gene,2025-06-14 00:00:00,tip with extension,2.0,0.0
28C_T12_A_D10_U_id196,28.0,10.0,U,12.0,A,196.0,gene,2025-06-14 00:00:00,,2.0,1.0
28C_T12_A_D10_W_id213,28.0,10.0,W,12.0,A,213.0,gene,2025-06-14 00:00:00,"2 tips on original tip, tip with extension after wounding",2.0,0.0
28C_T12_C_D10_U_id275,28.0,10.0,U,12.0,C,275.0,gene,2025-06-14 00:00:00,,2.0,1.0
28C_T12_C_D10_W_id252,28.0,10.0,W,12.0,C,252.0,gene,2025-06-14 00:00:00,tip exists but extension is questionable,2.0,0.0
28C_T12_D_D10_U_id202,28.0,10.0,U,12.0,D,202.0,gene,2025-06-14 00:00:00,,1.0,1.0
28C_T12_D_D10_W_id243,28.0,10.0,W,12.0,D,243.0,gene,2025-06-14 00:00:00,tip with extension,1.0,0.0
31C_T4_A_D1_U_id182,31.0,1.0,U,4.0,A,182.0,gene,2025-06-05 00:00:00,,1.0,1.0
31C_T4_A_D1_W_id197,31.0,1.0,W,4.0,A,197.0,gene,2025-06-05 00:00:00,dark tip,1.0,0.0
31C_T4_C_D1_U_id274,31.0,1.0,U,4.0,C,274.0,gene,2025-06-05 00:00:00,,1.0,1.0
31C_T4_C_D1_W_id276,31.0,1.0,W,4.0,C,276.0,gene,2025-06-05 00:00:00,,1.0,0.0
31C_T4_D_D1_U_id249,31.0,1.0,U,4.0,D,249.0,gene,2025-06-05 00:00:00,,2.0,1.0
31C_T4_D_D1_W_id224,31.0,1.0,W,4.0,D,224.0,gene,2025-06-05 00:00:00,,2.0,0.0
31C_T5_A_D1_U_id198,31.0,1.0,U,5.0,A,198.0,gene,2025-06-05 00:00:00,branch on original tip,2.0,1.0
31C_T5_A_D1_W_id183,31.0,1.0,W,5.0,A,183.0,gene,2025-06-05 00:00:00,dark tip,2.0,0.0
31C_T5_C_D1_U_id278,31.0,1.0,U,5.0,C,278.0,gene,2025-06-05 00:00:00,,2.0,1.0
31C_T5_C_D1_W_id263,31.0,1.0,W,5.0,C,263.0,gene,2025-06-05 00:00:00,,2.0,0.0
31C_T5_D_D1_U_id200,31.0,1.0,U,5.0,D,200.0,gene,2025-06-05 00:00:00,,1.0,1.0
31C_T5_D_D1_W_id226,31.0,1.0,W,5.0,D,226.0,gene,2025-06-05 00:00:00,,1.0,0.0
31C_T10_A_D1_U_id171,31.0,1.0,U,10.0,A,171.0,gene,2025-06-05 00:00:00,wound with branch,1.0,1.0
31C_T10_A_D1_W_id210,31.0,1.0,W,10.0,A,210.0,gene,2025-06-05 00:00:00,,1.0,0.0
31C_T10_C_D1_U_id262,31.0,1.0,U,10.0,C,262.0,gene,2025-06-05 00:00:00,,1.0,1.0
31C_T10_C_D1_W_id254,31.0,1.0,W,10.0,C,254.0,gene,2025-06-05 00:00:00,,1.0,0.0
31C_T10_D_D1_U_id259,31.0,1.0,U,10.0,D,259.0,gene,2025-06-05 00:00:00,,2.0,1.0
31C_T10_D_D1_W_id256,31.0,1.0,W,10.0,D,256.0,gene,2025-06-05 00:00:00,2 tips,2.0,0.0
31C_T11_A_D1_U_id188,31.0,1.0,U,11.0,A,188.0,gene,2025-06-05 00:00:00,,2.0,1.0
31C_T11_A_D1_W_id181,31.0,1.0,W,11.0,A,181.0,gene,2025-06-05 00:00:00,,2.0,0.0
31C_T11_C_D1_U_id264,31.0,1.0,U,11.0,C,264.0,gene,2025-06-05 00:00:00,tip with branch,2.0,1.0
31C_T11_C_D1_W_id300,31.0,1.0,W,11.0,C,300.0,gene,2025-06-05 00:00:00,2 tips,2.0,0.0
31C_T11_D_D1_U_id244,31.0,1.0,U,11.0,D,244.0,gene,2025-06-05 00:00:00,,1.0,1.0
31C_T11_D_D1_W_id228,31.0,1.0,W,11.0,D,228.0,gene,2025-06-05 00:00:00,,1.0,0.0
31C_T4_A_D3_U_id211,31.0,3.0,U,4.0,A,211.0,gene,2025-06-07 00:00:00,,2.0,1.0
31C_T4_A_D3_W_id138,31.0,3.0,W,4.0,A,138.0,gene,2025-06-07 00:00:00,,2.0,0.0
31C_T4_C_D3_U_id289,31.0,3.0,U,4.0,C,289.0,gene,2025-06-07 00:00:00,,2.0,1.0
31C_T4_C_D3_W_id295,31.0,3.0,W,4.0,C,295.0,gene,2025-06-07 00:00:00,,2.0,0.0
31C_T4_D_D3_U_id236,31.0,3.0,U,4.0,D,236.0,gene,2025-06-07 00:00:00,very easy to cut,1.0,1.0
31C_T4_D_D3_W_id206,31.0,3.0,W,4.0,D,206.0,gene,2025-06-07 00:00:00,,1.0,0.0
31C_T5_A_D3_U_id153,31.0,3.0,U,5.0,A,153.0,gene,2025-06-07 00:00:00,thin and easy to cut,1.0,1.0
31C_T5_A_D3_W_id212,31.0,3.0,W,5.0,A,212.0,gene,2025-06-07 00:00:00,low branch,1.0,0.0
31C_T5_C_D3_U_id297,31.0,3.0,U,5.0,C,297.0,gene,2025-06-07 00:00:00,thick fragment,1.0,1.0
31C_T5_C_D3_W_id270,31.0,3.0,W,5.0,C,270.0,gene,2025-06-07 00:00:00,wound looks smoothed over/possible growing tip and coenosarc,1.0,0.0
31C_T5_D_D3_U_id239,31.0,3.0,U,5.0,D,239.0,gene,2025-06-07 00:00:00,,2.0,1.0
31C_T5_D_D3_W_id221,31.0,3.0,W,5.0,D,221.0,gene,2025-06-07 00:00:00,,2.0,0.0
31C_T10_A_D3_U_id155,31.0,3.0,U,10.0,A,155.0,gene,2025-06-07 00:00:00,,2.0,1.0
31C_T10_A_D3_W_id193,31.0,3.0,W,10.0,A,193.0,gene,2025-06-07 00:00:00,,2.0,0.0
31C_T10_C_D3_U_id255,31.0,3.0,U,10.0,C,255.0,gene,2025-06-07 00:00:00,,2.0,1.0
31C_T10_C_D3_W_id266,31.0,3.0,W,10.0,C,266.0,gene,2025-06-07 00:00:00,2 tips,2.0,0.0
31C_T10_D_D3_U_id241,31.0,3.0,U,10.0,D,241.0,gene,2025-06-07 00:00:00,,1.0,1.0
31C_T10_D_D3_W_id216,31.0,3.0,W,10.0,D,216.0,gene,2025-06-07 00:00:00,middle with small branch,1.0,0.0
31C_T11_A_D3_U_id168,31.0,3.0,U,11.0,A,168.0,gene,2025-06-07 00:00:00,,1.0,1.0
31C_T11_A_D3_W_id112,31.0,3.0,W,11.0,A,112.0,gene,2025-06-07 00:00:00,2 tips,1.0,0.0
31C_T11_C_D3_U_id284,31.0,3.0,U,11.0,C,284.0,gene,2025-06-07 00:00:00,,1.0,1.0
31C_T11_C_D3_W_id265,31.0,3.0,W,11.0,C,265.0,gene,2025-06-07 00:00:00,,1.0,0.0
31C_T11_D_D3_U_id185,31.0,3.0,U,11.0,D,185.0,gene,2025-06-07 00:00:00,,2.0,1.0
31C_T11_D_D3_W_id219,31.0,3.0,W,11.0,D,219.0,gene,2025-06-07 00:00:00,,2.0,0.0
