Well,Plate,Day,Temp,Wound,Tank,Genotype,Sample_ID,Role,Notes
A1,Plate_1,1.0,28 °C,W,3.0,A,28C_T3_A_D1_W_id209,sample,
A10,Plate_1,1.0,31 °C,U,4.0,C,31C_T4_C_D1_U_id274,sample,
A11,Plate_1,1.0,31 °C,W,5.0,D,31C_T5_D_D1_W_id226,sample,
A12,Plate_1,1.0,31 °C,U,5.0,D,31C_T5_D_D1_U_id200,sample,
A2,Plate_1,1.0,28 °C,U,3.0,A,28C_T3_A_D1_U_id111,sample,
A3,Plate_1,1.0,28 °C,W,3.0,C,28C_T3_C_D1_W_id296,sample,
A4,Plate_1,1.0,28 °C,U,3.0,C,28C_T3_C_D1_U_id298,sample,
A5,Plate_1,1.0,28 °C,W,6.0,D,28C_T6_D_D1_W_id238,sample,
A6,Plate_1,1.0,28 °C,U,6.0,D,28C_T6_D_D1_U_id222,sample,
A7,Plate_1,1.0,31 °C,W,4.0,A,31C_T4_A_D1_W_id197,sample,dark tip
A8,Plate_1,1.0,31 °C,U,4.0,A,31C_T4_A_D1_U_id182,sample,
A9,Plate_1,1.0,31 °C,W,4.0,C,31C_T4_C_D1_W_id276,sample,
B1,Plate_1,1.0,28 °C,W,9.0,A,28C_T9_A_D1_W_id159,sample,
B10,Plate_1,1.0,31 °C,U,10.0,C,31C_T10_C_D1_U_id262,sample,
B11,Plate_1,1.0,31 °C,W,11.0,D,31C_T11_D_D1_W_id228,sample,
B12,Plate_1,1.0,31 °C,U,11.0,D,31C_T11_D_D1_U_id244,sample,
B2,Plate_1,1.0,28 °C,U,9.0,A,28C_T9_A_D1_U_id148,sample,wound with branch
B3,Plate_1,1.0,28 °C,W,9.0,C,28C_T9_C_D1_W_id288,sample,
B4,Plate_1,1.0,28 °C,U,9.0,C,28C_T9_C_D1_U_id261,sample,original tip with branch
B5,Plate_1,1.0,28 °C,W,12.0,D,28C_T12_D_D1_W_id231,sample,2 tips
B6,Plate_1,1.0,28 °C,U,12.0,D,28C_T12_D_D1_U_id234,sample,
B7,Plate_1,1.0,31 °C,W,10.0,A,31C_T10_A_D1_W_id210,sample,
B8,Plate_1,1.0,31 °C,U,10.0,A,31C_T10_A_D1_U_id171,sample,wound with branch
B9,Plate_1,1.0,31 °C,W,10.0,C,31C_T10_C_D1_W_id254,sample,
C1,Plate_1,,,,,,,unused
C10,Plate_1,,,,,,,control,Control/Anchor
C11,Plate_1,,,,,,,control,Control/Anchor
C12,Plate_1,,,,,,,control,Control/Anchor
C2,Plate_1,,,,,,,unused
C3,Plate_1,,,,,,,unused
C4,Plate_1,,,,,,,unused
C5,Plate_1,,,,,,,unused
C6,Plate_1,,,,,,,unused
C7,Plate_1,,,,,,,unused
C8,Plate_1,,,,,,,unused
C9,Plate_1,,,,,,,control,Control/Anchor
D1,Plate_1,3.0,28 °C,W,3.0,D,28C_T3_D_D3_W_id247,sample,wound has growing tip already
D10,Plate_1,3.0,31 °C,U,5.0,A,31C_T5_A_D3_U_id153,sample,thin and easy to cut
D11,Plate_1,3.0,31 °C,W,5.0,C,31C_T5_C_D3_W_id270,sample,wound looks smoothed over/possible growing tip and coenosarc
D12,Plate_1,3.0,31 °C,U,5.0,C,31C_T5_C_D3_U_id297,sample,thick fragment
D2,Plate_1,3.0,28 °C,U,3.0,D,28C_T3_D_D3_U_id242,sample,
D3,Plate_1,3.0,28 °C,W,6.0,A,28C_T6_A_D3_W_id208,sample,
D4,Plate_1,3.0,28 °C,U,6.0,A,28C_T6_A_D3_U_id194,sample,chlorophyll with branch
D5,Plate_1,3.0,28 °C,W,6.0,C,28C_T6_C_D3_W_id282,sample,wound looks covered in coenosarc
D6,Plate_1,3.0,28 °C,U,6.0,C,28C_T6_C_D3_U_id281,sample,
D7,Plate_1,3.0,31 °C,W,4.0,D,31C_T4_D_D3_W_id206,sample,
D8,Plate_1,3.0,31 °C,U,4.0,D,31C_T4_D_D3_U_id236,sample,very easy to cut
D9,Plate_1,3.0,31 °C,W,5.0,A,31C_T5_A_D3_W_id212,sample,low branch
E1,Plate_1,3.0,28 °C,W,9.0,D,28C_T9_D_D3_W_id218,sample,"wound edge smoothed over, growing tip present with coenosarc"
E10,Plate_1,3.0,31 °C,U,11.0,A,31C_T11_A_D3_U_id168,sample,
E11,Plate_1,3.0,31 °C,W,11.0,C,31C_T11_C_D3_W_id265,sample,
E12,Plate_1,3.0,31 °C,U,11.0,C,31C_T11_C_D3_U_id284,sample,
E2,Plate_1,3.0,28 °C,U,9.0,D,28C_T9_D_D3_U_id229,sample,
E3,Plate_1,3.0,28 °C,W,12.0,A,28C_T12_A_D3_W_id167,sample,
E4,Plate_1,3.0,28 °C,U,12.0,A,28C_T12_A_D3_U_id190,sample,
E5,Plate_1,3.0,28 °C,W,12.0,C,28C_T12_C_D3_W_id301,sample,
E6,Plate_1,3.0,28 °C,U,12.0,C,28C_T12_C_D3_U_id273,sample,
E7,Plate_1,3.0,31 °C,W,10.0,D,31C_T10_D_D3_W_id216,sample,middle with small branch
E8,Plate_1,3.0,31 °C,U,10.0,D,31C_T10_D_D3_U_id241,sample,
E9,Plate_1,3.0,31 °C,W,11.0,A,31C_T11_A_D3_W_id112,sample,2 tips
