species,collection_date,coord_lat,coord_long,acclimation_start_date,heat_ramp_start_date,heat_ramp_end_date,thicket,id,sample,wound,tank,treatment,biopsy_day,biopsy_date,biopsy_notes,collected_in_liquid_nitrogen,in_dna_rna_shield,sub_samples_taken,percent_growth_bw,calculated_sa,chlorophyll_ug_cm2,zooxanthellae_cells_cm2
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,111,gene,no,3,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.6226,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,203,gene,yes,3,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.0867000000000004,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,209,gene,yes,3,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.8666,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,246,gene,no,3,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.046,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,296,gene,yes,3,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,2.7046,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,298,gene,no,3,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.7969,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,182,gene,no,4,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.7788,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,197,gene,yes,4,31C,1,2025-06-05,dark tip,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.7155,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,224,gene,yes,4,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.0576,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,249,gene,no,4,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.1106,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,274,gene,no,4,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.3314,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,276,gene,yes,4,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.128,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,183,gene,yes,5,31C,1,2025-06-05,dark tip,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.1099,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,198,gene,no,5,31C,1,2025-06-05,branch on original tip,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.9886,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,200,gene,no,5,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.0518,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,226,gene,yes,5,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.2203,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,263,gene,yes,5,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.4766,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,278,gene,no,5,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.9647,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,140,gene,yes,6,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.7969,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,192,gene,no,6,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.8782,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,222,gene,no,6,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.0286,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,238,gene,yes,6,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.25,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,268,gene,yes,6,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.1571,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,280,gene,no,6,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.1506,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,148,gene,no,9,28C,1,2025-06-05,wound with branch,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.1622,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,159,gene,yes,9,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.9421,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,227,gene,yes,9,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.1157,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,257,gene,no,9,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.343,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,261,gene,no,9,28C,1,2025-06-05,original tip with branch,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.1215,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,288,gene,yes,9,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.2442,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,171,gene,no,10,31C,1,2025-06-05,wound with branch,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.8201,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,210,gene,yes,10,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.2798,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,254,gene,yes,10,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,6.1673,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,256,gene,yes,10,31C,1,2025-06-05,2 tips,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,7.9394,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,259,gene,no,10,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.2914,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,262,gene,no,10,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.7265,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,181,gene,yes,11,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.3785,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,a,188,gene,no,11,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,6.2196,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,228,gene,yes,11,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.6277,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,d,244,gene,no,11,31C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.3488,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,264,gene,no,11,31C,1,2025-06-05,tip with branch,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.7148,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,2025-05-28T00:00:00Z,2025-05-31T00:00:00Z,c,300,gene,yes,11,31C,1,2025-06-05,2 tips,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.587,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,151,gene,no,12,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.4941,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,164,gene,yes,12,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,6.9517,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,231,gene,yes,12,28C,1,2025-06-05,2 tips,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.3146,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,234,gene,no,12,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,5.8652,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,287,gene,no,12,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,4.6858,NA,NA
a. pulchra,2025-05-19,17.498075,149.91595,2025-05-19T00:00:00Z,NA,NA,c,294,gene,yes,12,28C,1,2025-06-05,NA,no,2025-06-05T00:00:00Z,"tip, wound, middle, far",NA,3.8608,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,134,gene,no,3,28C,3,2025-06-07,"wound with branch, fell off",yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,5.4818,NA,NA
a. pulchra,2025-05-18,17.497351,149.915567,2025-05-18T00:00:00Z,NA,NA,a,160,gene,yes,3,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,2.9777,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,242,gene,no,3,28C,3,2025-06-07,NA,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.5812,NA,NA
a. pulchra,2025-05-19,17.49726,149.915809,2025-05-19T00:00:00Z,NA,NA,d,247,gene,yes,3,28C,3,2025-06-07,wound has growing tip already,yes,2025-06-19T00:00:00Z,"tip, wound, middle, far",NA,4.5812,NA,NA
