date,day,treatment,tank,thicket ,wound,sample,id,location,F,M,Y,E,Fv/Fm,notes
2025-06-03 00:00:00,-1.0,28.0,3.0,a,no,gene/physio,162.0,top,406.0,1133.0,641.0,7.8,=L2/100,"sat int (6), damp (2), out gain (6), measure int (6) for all data in this file"
2025-06-03 00:00:00,-1.0,28.0,3.0,a,no,gene/physio,162.0,bottom,568.0,1698.0,665.0,3.8,=L3/100
2025-06-03 00:00:00,-1.0,28.0,3.0,a,yes,gene/physio,172.0,top,416.0,1191.0,650.0,4.5,=L4/100,
2025-06-03 00:00:00,-1.0,28.0,3.0,a,yes,gene/physio,172.0,bottom,536.0,1591.0,663.0,5.2,=L5/100
2025-06-03 00:00:00,-1.0,28.0,3.0,c,yes,gene/physio,129.0,top,395.0,1119.0,647.0,8.4,=L6/100,
2025-06-03 00:00:00,-1.0,28.0,3.0,c,yes,gene/physio,129.0,bottom,425.0,1259.0,662.0,7.9,=L7/100
2025-06-03 00:00:00,-1.0,28.0,3.0,c,no,gene/physio,139.0,top,434.0,1374.0,684.0,8.8,=L8/100,
2025-06-03 00:00:00,-1.0,28.0,3.0,c,no,gene/physio,139.0,bottom,459.0,1442.0,681.0,9.6,=L9/100
2025-06-03 00:00:00,-1.0,28.0,3.0,d,yes,gene/physio,113.0,top,416.0,1156.0,640.0,4.8,=L10/100,
2025-06-03 00:00:00,-1.0,28.0,3.0,d,yes,gene/physio,113.0,bottom,526.0,1459.0,639.0,8.0,=L11/100
2025-06-03 00:00:00,-1.0,28.0,3.0,d,no,gene/physio,156.0,top,312.0,889.0,649.0,4.5,=L12/100,
2025-06-03 00:00:00,-1.0,28.0,3.0,d,no,gene/physio,156.0,bottom,518.0,1569.0,669.0,5.3,=L13/100
2025-06-03 00:00:00,-1.0,28.0,6.0,a,no,gene/physio,169.0,top,327.0,1042.0,686.0,8.2,=L14/100,
2025-06-03 00:00:00,-1.0,28.0,6.0,a,no,gene/physio,169.0,bottom,514.0,1441.0,643.0,7.2,=L15/100
2025-06-03 00:00:00,-1.0,28.0,6.0,a,yes,gene/physio,179.0,top,378.0,1085.0,651.0,5.5,=L16/100,
2025-06-03 00:00:00,-1.0,28.0,6.0,a,yes,gene/physio,179.0,bottom,449.0,1253.0,641.0,3.7,=L17/100
2025-06-03 00:00:00,-1.0,28.0,6.0,c,yes,gene/physio,117.0,top,424.0,1284.0,669.0,7.4,=L18/100,
2025-06-03 00:00:00,-1.0,28.0,6.0,c,yes,gene/physio,117.0,bottom,506.0,1633.0,690.0,6.8,=L19/100
2025-06-03 00:00:00,-1.0,28.0,6.0,c,no,gene/physio,123.0,top,295.0,1239.0,761.0,8.6,=L20/100,
2025-06-03 00:00:00,-1.0,28.0,6.0,c,no,gene/physio,123.0,bottom,466.0,1498.0,688.0,7.4,=L21/100
2025-06-03 00:00:00,-1.0,28.0,6.0,d,no,gene/physio,145.0,top,334.0,1010.0,669.0,7.1,=L22/100,
2025-06-03 00:00:00,-1.0,28.0,6.0,d,no,gene/physio,145.0,bottom,343.0,1269.0,729.0,4.2,=L23/100
2025-06-03 00:00:00,-1.0,28.0,6.0,d,yes,gene/physio,146.0,top,289.0,795.0,636.0,3.5,=L24/100,
2025-06-03 00:00:00,-1.0,28.0,6.0,d,yes,gene/physio,146.0,bottom,492.0,1431.0,656.0,6.6,=L25/100
2025-06-03 00:00:00,-1.0,28.0,9.0,a,yes,gene/physio,166.0,top,409.0,1249.0,672.0,6.2,=L26/100,
2025-06-03 00:00:00,-1.0,28.0,9.0,a,yes,gene/physio,166.0,bottom,478.0,1576.0,696.0,4.5,=L27/100
2025-06-03 00:00:00,-1.0,28.0,9.0,a,no,gene/physio,173.0,top,349.0,1181.0,704.0,6.0,=L28/100,
2025-06-03 00:00:00,-1.0,28.0,9.0,a,no,gene/physio,173.0,bottom,435.0,1262.0,655.0,2.8,=L29/100
2025-06-03 00:00:00,-1.0,28.0,9.0,c,yes,gene/physio,121.0,top,349.0,1181.0,704.0,6.0,=L30/100,
2025-06-03 00:00:00,-1.0,28.0,9.0,c,yes,gene/physio,121.0,bottom,431.0,1386.0,689.0,9.4,=L31/100
2025-06-03 00:00:00,-1.0,28.0,9.0,c,no,gene/physio,131.0,top,347.0,941.0,631.0,3.3,=L32/100,same spot x3
2025-06-03 00:00:00,-1.0,28.0,9.0,c,no,gene/physio,131.0,bottom,424.0,1516.0,720.0,4.3,=L33/100
2025-06-03 00:00:00,-1.0,28.0,9.0,d,yes,gene/physio,118.0,top,253.0,765.0,669.0,5.6,=L34/100,
2025-06-03 00:00:00,-1.0,28.0,9.0,d,yes,gene/physio,118.0,bottom,391.0,1139.0,656.0,10.1,=L35/100
2025-06-03 00:00:00,-1.0,28.0,9.0,d,no,gene/physio,122.0,top,281.0,760.0,630.0,7.0,=L36/100,
2025-06-03 00:00:00,-1.0,28.0,9.0,d,no,gene/physio,122.0,bottom,466.0,1456.0,679.0,4.0,=L37/100
2025-06-03 00:00:00,-1.0,28.0,12.0,a,no,gene/physio,176.0,top,283.0,926.0,694.0,6.8,=L38/100,
2025-06-03 00:00:00,-1.0,28.0,12.0,a,no,gene/physio,176.0,bottom,390.0,1221.0,680.0,7.0,=L39/100
2025-06-03 00:00:00,-1.0,28.0,12.0,a,yes,gene/physio,177.0,top,336.0,926.0,637.0,4.8,=L40/100,
2025-06-03 00:00:00,-1.0,28.0,12.0,a,yes,gene/physio,177.0,bottom,495.0,1553.0,681.0,3.3,=L41/100
2025-06-03 00:00:00,-1.0,28.0,12.0,c,no,gene/physio,125.0,top,412.0,1292.0,681.0,5.8,=L42/100,
2025-06-03 00:00:00,-1.0,28.0,12.0,c,no,gene/physio,125.0,bottom,522.0,1815.0,712.0,6.4,=L43/100
2025-06-03 00:00:00,-1.0,28.0,12.0,c,yes,gene/physio,130.0,top,336.0,1036.0,675.0,6.3,=L44/100,
2025-06-03 00:00:00,-1.0,28.0,12.0,c,yes,gene/physio,130.0,bottom,474.0,1551.0,694.0,3.5,=L45/100
2025-06-03 00:00:00,-1.0,28.0,12.0,d,yes,gene/physio,144.0,top,272.0,833.0,673.0,4.3,=L46/100,
2025-06-03 00:00:00,-1.0,28.0,12.0,d,yes,gene/physio,144.0,bottom,317.0,1000.0,683.0,4.6,=L47/100
2025-06-03 00:00:00,-1.0,28.0,12.0,d,no,gene/physio,147.0,top,364.0,1069.0,659.0,5.8,=L48/100,
2025-06-03 00:00:00,-1.0,28.0,12.0,d,no,gene/physio,147.0,bottom,391.0,1237.0,683.0,6.0,=L49/100
2025-06-03 00:00:00,-1.0,31.0,4.0,a,yes,gene/physio,152.0,top,335.0,972.0,655.0,3.6,=L50/100,
2025-06-03 00:00:00,-1.0,31.0,4.0,a,yes,gene/physio,152.0,bottom,410.0,1245.0,670.0,4.3,=L51/100
2025-06-03 00:00:00,-1.0,31.0,4.0,a,no,gene/physio,165.0,top,301.0,934.0,677.0,8.0,=L52/100,
2025-06-03 00:00:00,-1.0,31.0,4.0,a,no,gene/physio,165.0,bottom,370.0,1125.0,671.0,3.3,=L53/100
2025-06-03 00:00:00,-1.0,31.0,4.0,c,yes,gene/physio,133.0,top,414.0,1293.0,679.0,7.4,=L54/100,
2025-06-03 00:00:00,-1.0,31.0,4.0,c,yes,gene/physio,133.0,bottom,489.0,1563.0,687.0,7.0,=L55/100
2025-06-03 00:00:00,-1.0,31.0,4.0,c,no,gene/physio,141.0,top,435.0,1383.0,685.0,2.8,=L56/100,
2025-06-03 00:00:00,-1.0,31.0,4.0,c,no,gene/physio,141.0,bottom,488.0,1433.0,659.0,4.5,=L57/100
2025-06-03 00:00:00,-1.0,31.0,4.0,d,yes,gene/physio,143.0,top,302.0,971.0,688.0,7.9,=L58/100,
2025-06-03 00:00:00,-1.0,31.0,4.0,d,yes,gene/physio,143.0,bottom,437.0,1310.0,666.0,4.0,=L59/100
2025-06-03 00:00:00,-1.0,31.0,4.0,d,no,gene/physio,150.0,top,380.0,725.0,475.0,6.8,=L60/100,
2025-06-03 00:00:00,-1.0,31.0,4.0,d,no,gene/physio,150.0,bottom,377.0,1076.0,649.0,5.2,=L61/100
2025-06-03 00:00:00,-1.0,31.0,5.0,a,no,gene/physio,161.0,top,400.0,1070.0,626.0,3.4,=L62/100,
2025-06-03 00:00:00,-1.0,31.0,5.0,a,no,gene/physio,161.0,bottom,375.0,1066.0,648.0,3.5,=L63/100
2025-06-03 00:00:00,-1.0,31.0,5.0,a,yes,gene/physio,170.0,top,265.0,694.0,618.0,3.8,=L64/100,
2025-06-03 00:00:00,-1.0,31.0,5.0,a,yes,gene/physio,170.0,bottom,349.0,1098.0,641.0,3.5,=L65/100
2025-06-03 00:00:00,-1.0,31.0,5.0,c,yes,gene/physio,115.0,top,407.0,1332.0,694.0,6.0,=L66/100,
2025-06-03 00:00:00,-1.0,31.0,5.0,c,yes,gene/physio,115.0,bottom,438.0,1295.0,661.0,3.9,=L67/100
2025-06-03 00:00:00,-1.0,31.0,5.0,c,no,gene/physio,124.0,top,381.0,1233.0,690.0,2.7,=L68/100,
2025-06-03 00:00:00,-1.0,31.0,5.0,c,no,gene/physio,124.0,bottom,468.0,1327.0,647.0,3.4,=L69/100
2025-06-03 00:00:00,-1.0,31.0,5.0,d,yes,gene/physio,126.0,top,261.0,638.0,590.0,3.4,=L70/100,
2025-06-03 00:00:00,-1.0,31.0,5.0,d,yes,gene/physio,126.0,bottom,291.0,988.0,705.0,4.0,=L71/100
2025-06-03 00:00:00,-1.0,31.0,5.0,d,no,gene/physio,154.0,top,295.0,651.0,546.0,2.8,=L72/100,
2025-06-03 00:00:00,-1.0,31.0,5.0,d,no,gene/physio,154.0,bottom,422.0,1211.0,651.0,2.9,=L73/100
2025-06-03 00:00:00,-1.0,31.0,10.0,a,yes,gene/physio,175.0,top,370.0,1011.0,634.0,5.9,=L74/100,
2025-06-03 00:00:00,-1.0,31.0,10.0,a,yes,gene/physio,175.0,bottom,474.0,1409.0,663.0,5.5,=L75/100
2025-06-03 00:00:00,-1.0,31.0,10.0,a,no,gene/physio,178.0,top,257.0,605.0,576.0,4.1,=L76/100,
2025-06-03 00:00:00,-1.0,31.0,10.0,a,no,gene/physio,178.0,bottom,316.0,1232.0,743.0,7.1,=L77/100
2025-06-03 00:00:00,-1.0,31.0,10.0,c,no,gene/physio,119.0,top,427.0,1174.0,636.0,5.9,=L78/100,
2025-06-03 00:00:00,-1.0,31.0,10.0,c,no,gene/physio,119.0,bottom,501.0,1589.0,684.0,6.1,=L79/100
2025-06-03 00:00:00,-1.0,31.0,10.0,c,no,gene/physio,132.0,top,353.0,916.0,614.0,5.0,=L80/100,
2025-06-03 00:00:00,-1.0,31.0,10.0,c,no,gene/physio,132.0,bottom,484.0,1504.0,678.0,5.4,=L81/100
2025-06-03 00:00:00,-1.0,31.0,10.0,d,yes,gene/physio,110.0,top,246.0,622.0,604.0,6.7,=L82/100,
2025-06-03 00:00:00,-1.0,31.0,10.0,d,yes,gene/physio,110.0,bottom,415.0,1232.0,663.0,5.2,=L83/100
2025-06-03 00:00:00,-1.0,31.0,10.0,d,no,gene/physio,120.0,top,358.0,993.0,639.0,5.7,=L84/100,
2025-06-03 00:00:00,-1.0,31.0,10.0,d,no,gene/physio,120.0,bottom,413.0,1183.0,650.0,3.8,=L85/100
2025-06-03 00:00:00,-1.0,31.0,11.0,a,no,gene/physio,163.0,top,351.0,1054.0,666.0,4.1,=L86/100,
2025-06-03 00:00:00,-1.0,31.0,11.0,a,no,gene/physio,163.0,bottom,419.0,1136.0,631.0,4.7,=L87/100
