term,Chisq,Df,Pr(>Chisq),trait
treatment,2.9372517712472157,1,0.08655788842702998,polyps_out
day,0.007620107440418688,1,0.9304384377224938,polyps_out
thicket,1.6964471760450037,2,0.4281748717364311,polyps_out
treatment:day,6.695091864327669,1,0.009667868700482078,polyps_out
treatment:thicket,0.4977782455507017,2,0.7796664158407026,polyps_out
day:thicket,3.959460358475911,2,0.13810649628411514,polyps_out
treatment:day:thicket,1.9688501064382704,2,0.37365399635261276,polyps_out
treatment,0.20643451251436276,1,0.6495764665535663,hole_in_center
day,29.47051649855657,1,5.6773835888527e-8,hole_in_center
thicket,3.0979868576868648,2,0.2124617240746067,hole_in_center
treatment:day,0.013192927855447907,1,0.9085557170410888,hole_in_center
treatment:thicket,0.4373166070246582,2,0.8035962572650432,hole_in_center
day:thicket,2.4827939126509824,2,0.2889802430586316,hole_in_center
treatment:day:thicket,0.0026159116563486545,2,0.9986928991732412,hole_in_center
treatment,0.20643451251436276,1,0.6495764665535663,polyp_in_hole
day,29.47051649855657,1,5.6773835888527e-8,polyp_in_hole
thicket,3.0979868576868648,2,0.2124617240746067,polyp_in_hole
treatment:day,0.013192927855447907,1,0.9085557170410888,polyp_in_hole
treatment:thicket,0.4373166070246582,2,0.8035962572650432,polyp_in_hole
day:thicket,2.4827939126509824,2,0.2889802430586316,polyp_in_hole
treatment:day:thicket,0.0026159116563486545,2,0.9986928991732412,polyp_in_hole
treatment,3.5486217207247794e-7,1,0.9995246977293509,wound_smoothed
day,18.076007233691083,1,2.122593266920833e-5,wound_smoothed
thicket,1.415942996700587,2,0.4926425107243109,wound_smoothed
treatment:day,8.404625940570241e-4,1,0.9768719815641339,wound_smoothed
treatment:thicket,0.010342877895911222,2,0.9948419099215727,wound_smoothed
day:thicket,0.12452230903176888,2,0.9396374641788076,wound_smoothed
treatment:day:thicket,0.001241840984432809,2,0.9993792722390201,wound_smoothed
treatment,6.351920444127038e-6,1,0.9979890923478754,pigment_over_wound
day,7.688007143407191,3,0.05291952109773851,pigment_over_wound
thicket,6.25099823156577,3,0.1000170990309281,pigment_over_wound
treatment:day,1.9242808852411752e-6,1,0.9988931872455725,pigment_over_wound
treatment:thicket,2.3020000380960617e-6,2,0.9999988490006433,pigment_over_wound
day:thicket,5.291184979438022,2,0.07096329625809457,pigment_over_wound
treatment:day:thicket,7.0884783689501426e-6,2,0.9999964557670963,pigment_over_wound
treatment,1.3614218485721354,1,0.24329121477638335,tip_exist
day,34.9844104937257,1,3.3235563956056536e-9,tip_exist
thicket,0.8209281006189117,2,0.6633423544774363,tip_exist
treatment:day,2.9234245695772523,1,0.08730240162429595,tip_exist
treatment:thicket,0.31515226492131737,2,0.8542117778882719,tip_exist
day:thicket,9.815287244771264,2,0.007389881181848159,tip_exist
treatment:day:thicket,0.016511330010638477,2,0.9917783194113963,tip_exist
treatment,1.9095561806373826,2,0.3848975475688676,tip_extension
day,58.33899353696893,4,6.477636593500922e-12,tip_extension
thicket,7.203632581760615,4,0.1255105802136083,tip_extension
treatment:day,1.5995244572317209,1,0.2059706150902146,tip_extension
treatment:thicket,1.3184570809524254e-6,2,0.9999993407716768,tip_extension
day:thicket,2.5244044113511475,2,0.28303004930794556,tip_extension
treatment:day:thicket,1.562540729450117e-5,2,0.9999921873268719,tip_extension
treatment,1.783812254912281,2,0.40987373609548905,new_corallites_on_tip
day,15.007728252897708,3,0.0018100565371830964,new_corallites_on_tip
thicket,3.1499476961703516,3,0.3690789801992719,new_corallites_on_tip
treatment:day,0.1372926622779912,1,0.7109874455862911,new_corallites_on_tip
treatment:thicket,1.0289425181353358e-6,2,0.9999994855288733,new_corallites_on_tip
day:thicket,2.253931226235919,2,0.32401495296831645,new_corallites_on_tip
treatment:day:thicket,5.915245982780479e-6,2,0.9999970423813823,new_corallites_on_tip
