trait,day,prob_28,prob_31,delta_prob,or_31_vs_28,or_lo,or_hi,p_value
hole_in_center,10,1,1,0,NA,NA,NA,NA
new_corallites_on_tip,10,0,0,0,NA,NA,NA,NA
pigment_over_wound,10,0,0,0,NA,NA,NA,NA
polyp_in_hole,10,1,1,0,NA,NA,NA,NA
polyps_out,10,0.9739,0.8403,0.1336,0.1411,0.0338,0.5887,0.0072
tip_exist,10,1,0.9867,0.0133,NA,NA,NA,NA
tip_extension,10,1,0.3939,0.6061,NA,NA,NA,NA
wound_smoothed,10,1,1,-0,NA,NA,NA,NA
