response,model,AIC,trt_time_p,day14_effect,day14_CI,day14_p
PAM Fv/Fm,"current (linear, rand-intercept)",-1237.6,1.37e-28,0.0875,"[0.062, 0.113]",3.57e-6
PAM Fv/Fm,upgraded (quad time + rand-slope),-1252.1,4.14e-17,0.092,"[0.068, 0.116]",1.08e-9
PAM Fv/Fm,AR(1) + rand-slope (nlme),-1251.4,2.34e-13,0.0872,"[0.067, 0.107]",1.1e-10
Color (D-scale),"current (linear, rand-intercept)",68.7,8.239999999999998e-68,1.2122,"[0.893, 1.531]",2.21e-6
Color (D-scale),upgraded (quad time + rand-slope),27.6,1.36e-32,1.249,"[0.970, 1.528]",1.16e-12
