metric,term,F_value,p_value
pct_growth,treatment,23.48,1.76e-5
pct_growth,wound,0.54,0.465
pct_growth,thicket,0.39,0.68
sgr,treatment,23.43,1.78e-5
sgr,wound,0.53,0.472
sgr,thicket,0.37,0.692
