pair,treatment,n_closed,n_reached_both,pct_closed_no_regen,median_lag,iqr_low,iqr_high,mean_lag,sd_lag
axial_polyp_formation -> new_corallites_on_tip,28C,12,12,0,9,8,9,8.5,1.4459976109624424
axial_polyp_formation -> new_corallites_on_tip,31C,12,4,66.7,11,10.5,11,10.5,1
wound_smoothed -> new_corallites_on_tip,28C,12,12,0,8,7.5,8.25,7.916666666666667,1.3789543689024488
wound_smoothed -> new_corallites_on_tip,31C,12,4,66.7,10,9.5,10,9.5,1
wound_smoothed -> tip_extension,28C,12,11,8.3,4,3,4,3.4545454545454546,0.9341987329938276
wound_smoothed -> tip_extension,31C,12,11,8.3,4,4,5,5.181818181818182,2.7863302682267164
