contrast,thicket,wound,estimate,SE,df,z.ratio,p.value,response
28C - 31C,a,no,60.69345974596506,623.4604522145933,Inf,0.09734933391584964,0.922448979215169,color_dscale_ordinal
28C - 31C,c,no,23.21225795202374,1822.9221798658298,Inf,0.012733542993992318,0.9898403771936678,color_dscale_ordinal
28C - 31C,d,no,15.826352196398377,4.438186521818454,Inf,3.565950218314362,3.6254019162967915e-4,color_dscale_ordinal
28C - 31C,a,yes,53.202872435654925,1419.6144451737823,Inf,0.03747698723165788,0.9701046887827428,color_dscale_ordinal
28C - 31C,c,yes,16.78885689772421,37708.45778213088,Inf,4.4522788480837953e-4,0.9996447595564089,color_dscale_ordinal
28C - 31C,d,yes,53.45113362899646,4468.683310657526,Inf,0.011961271343959171,0.990456513835252,color_dscale_ordinal
