metric,value
acute ED50 mean (°C),35.405
acute ED50 range (°C),2.203
acute ED50 SD (°C),0.594
acute ED50 CV (%),1.677
n genets (Cunning),20
31 °C below mean ED50 (°C),4.405
31 °C below lowest-genet ED50 (°C),3.39
28 °C below mean ED50 (°C),7.405
