treatment,wound,biopsy_day,n,mean_cells,se_cells,mean_chl,se_chl
28C,no,1,12,1151863.2710007099,71583.22013160266,NA,NA
28C,no,3,12,910932.482607912,86733.3907591898,NA,NA
28C,no,10,12,1042704.958158158,74121.06119702107,NA,NA
28C,no,15,12,975229.7733425407,63336.01379699087,NA,NA
28C,yes,1,12,1178995.1687685167,74074.05555204443,NA,NA
28C,yes,3,12,981471.4368227642,42198.67830433533,NA,NA
28C,yes,10,12,937348.9299072638,46977.055112566086,NA,NA
28C,yes,15,12,959600.6492268438,75776.47518702594,NA,NA
31C,no,1,12,795451.2403705701,86193.55023165818,NA,NA
31C,no,3,12,663113.5796274709,71727.33039426019,NA,NA
31C,no,10,12,357456.3956578295,76632.49381722722,NA,NA
31C,no,15,13,218348.759322723,58903.16529661003,NA,NA
31C,yes,1,12,705868.4972975465,63204.225438510715,NA,NA
31C,yes,3,12,678900.6607736001,126746.64970007952,NA,NA
31C,yes,10,12,463522.5043573217,78118.22590316864,NA,NA
31C,yes,15,11,197753.96710444058,48570.67199494017,NA,NA
