effect,term,estimate,std.error,statistic,p.value,trait,max_se
fixed,(Intercept),1.1223073244548314,0.38754988267231205,2.8959041781049493,0.00378067822731501,polyps_out,0.5011513847464396
fixed,treatment2,0.5338384528039358,0.42882158943466536,1.2448963997072042,0.21316983448456484,polyps_out,0.5011513847464396
fixed,day,0.2348198663651165,0.09755775524238379,2.4069830817827125,0.016084914987891753,polyps_out,0.5011513847464396
fixed,thicket2,0.07224270096646979,0.44218997846321945,0.16337480378352537,0.8702233400002017,polyps_out,0.5011513847464396
fixed,thicket3,0.15156534349379036,0.4374349975130004,0.3464865508144119,0.7289770898972998,polyps_out,0.5011513847464396
fixed,treatment2:day,-0.33118548760954375,0.10336288016405563,-3.204104675526575,0.0013548320898620922,polyps_out,0.5011513847464396
fixed,treatment2:thicket2,-0.07303344394742343,0.5011513847464396,-0.14573130229775802,0.8841335095010303,polyps_out,0.5011513847464396
fixed,treatment2:thicket3,0.026878445115819063,0.48781402378802846,0.05509977943458765,0.956058971865107,polyps_out,0.5011513847464396
fixed,day:thicket2,0.019084643973333953,0.139967247295465,0.13635078450208477,0.8915439784962227,polyps_out,0.5011513847464396
fixed,day:thicket3,0.0031423199920334512,0.13717072365791932,0.02290809516956306,0.9817235830796384,polyps_out,0.5011513847464396
fixed,treatment2:day:thicket2,0.2192271719200734,0.15997392312657785,1.3703931718084577,0.17056420242341222,polyps_out,0.5011513847464396
fixed,treatment2:day:thicket3,0.03126874556189042,0.14317483757324656,0.21839553717596288,0.8271209424397739,polyps_out,0.5011513847464396
fixed,(Intercept),-26.811069268682292,134743.2648466257,-1.9897891964544976e-4,0.9998412377931373,pigment_over_wound,301997.91430550214
fixed,treatment2,24.301210428676196,134743.26486269064,1.803519489708091e-4,0.9998560999651855,pigment_over_wound,301997.91430550214
fixed,day,-0.0021640040114990385,15397.132827056615,-1.4054590785216464e-7,0.99999988786059,pigment_over_wound,301997.91430550214
fixed,thicket2,8.882175784645623,134743.2651190274,6.591925597765073e-5,0.999947404043434,pigment_over_wound,301997.91430550214
fixed,thicket3,24.87759143932441,134743.26485538634,1.8462957288458437e-4,0.9998526869151647,pigment_over_wound,301997.91430550214
fixed,treatment2:day,-0.2140363412519861,15397.132827649437,-1.3901051815804942e-5,0.9999889085653776,pigment_over_wound,301997.91430550214
fixed,treatment2:thicket2,-599.0584482815099,301997.91430550214,-0.0019836509456005722,0.9984172765744521,pigment_over_wound,301997.91430550214
fixed,treatment2:thicket3,-49.38421314439864,228211.94737547525,-2.1639626545558196e-4,0.9998273407621251,pigment_over_wound,301997.91430550214
fixed,day:thicket2,1.0278372882232119,15397.132839747164,6.675510946881523e-5,0.9999467371288396,pigment_over_wound,301997.91430550214
fixed,day:thicket3,-0.2351055020162395,15397.132827820324,-1.526943390339784e-5,0.9999878167544367,pigment_over_wound,301997.91430550214
fixed,treatment2:day:thicket2,40.04968790704562,24117.915296307114,0.00166057834663587,0.9986750507841448,pigment_over_wound,301997.91430550214
fixed,treatment2:day:thicket3,0.3614767758286532,30347.12388787532,1.1911401461443768e-5,0.9999904960766766,pigment_over_wound,301997.91430550214
fixed,(Intercept),-1607.8733900364707,0.03190572126887176,-50394.51628398582,0,new_corallites_on_tip,0.04354055602789412
fixed,treatment2,1537.3810065836628,0.031600992094147615,48649.770298457814,0,new_corallites_on_tip,0.04354055602789412
fixed,day,140.80334360098004,0.0010809313304319499,130261.13651892554,0,new_corallites_on_tip,0.04354055602789412
fixed,thicket2,1039.1355384089497,0.03207856337316722,32393.456225603804,0,new_corallites_on_tip,0.04354055602789412
fixed,thicket3,0.683678831754583,0.03172769516108732,21.548329567698516,5.489181653210393e-103,new_corallites_on_tip,0.04354055602789412
fixed,treatment2:day,-132.73524731504972,0.02991548571290143,-4437.007929234656,0,new_corallites_on_tip,0.04354055602789412
fixed,treatment2:thicket2,-1548.2091876383688,0.03176888761703174,-48733.50324071002,0,new_corallites_on_tip,0.04354055602789412
fixed,treatment2:thicket3,-461.88609108458655,0.03175051258952337,-14547.358559401458,0,new_corallites_on_tip,0.04354055602789412
fixed,day:thicket2,-95.7120635054772,0.029498981619927128,-3244.5887366098723,0,new_corallites_on_tip,0.04354055602789412
fixed,day:thicket3,-0.06911436044441698,0.04354055602789412,-1.58735594465397,0.11243205120975013,new_corallites_on_tip,0.04354055602789412
fixed,treatment2:day:thicket2,139.83294688559238,0.02943599928522276,4750.405975033104,0,new_corallites_on_tip,0.04354055602789412
fixed,treatment2:day:thicket3,39.5093027142224,0.032615353587485324,1211.371282799225,0,new_corallites_on_tip,0.04354055602789412
