trait,n,n_event,HR_31_vs28,HR_lo,HR_hi,z,p
hole_in_center,24,24,1.3777769867677592,0.6034183194990955,3.1458597856999457,0.7607802094576861,0.4467883570079605
polyp_in_hole,24,24,1.3777769867677592,0.6034183194990955,3.1458597856999457,0.7607802094576861,0.4467883570079605
wound_smoothed,24,24,1.6697029760810214,0.6948948100284446,4.011985682005165,1.14615643945917,0.2517304281877812
pigment_over_wound,24,10,1.6038143209474307,0.4387324458054015,5.862845113618447,0.7142579740256755,0.47506767410761613
tip_exist,24,24,0.6662514254691351,0.2750804586701206,1.6136768278112157,-0.8997456951799885,0.3682555997035934
tip_extension,24,22,0.8038896989027402,0.3448882945748745,1.8737621953755268,-0.5055847943202976,0.6131481583156383
new_corallites_on_tip,24,16,0.21655628290079687,0.06810713015305919,0.688571425024337,-2.5921851412085575,0.009536843310955428
