term,Chisq,Df,Pr(>Chisq),trait
treatment,0.033595007673557345,1,0.854570943549687,polyps_out
day,0.037786614650112384,1,0.8458722462225973,polyps_out
thicket,2.154174832888533,2,0.3405860678066966,polyps_out
treatment:day,11.949606493022415,1,5.465892351960475e-4,polyps_out
treatment:thicket,0.12736089918964155,2,0.938304787304491,polyps_out
day:thicket,3.4541503220504053,2,0.17780369736759677,polyps_out
treatment:day:thicket,1.9358577647693505,2,0.37986897726656604,polyps_out
treatment,2.9805496882662403e-7,1,0.9995643996469747,pigment_over_wound
day,7.650307058647665,3,0.05381962894579461,pigment_over_wound
thicket,3.8587512252728824,3,0.2771259388712918,pigment_over_wound
treatment:day,1.5386005106266506e-6,1,0.9990103015588144,pigment_over_wound
treatment:thicket,1.1557389271972967e-6,2,0.9999994221307034,pigment_over_wound
day:thicket,3.8505269333668477,2,0.14583732851689238,pigment_over_wound
treatment:day:thicket,3.066584719217157e-6,2,0.9999984667088159,pigment_over_wound
treatment,2407852278.889214,1,0,new_corallites_on_tip
day,18911387566.876102,1,0,new_corallites_on_tip
thicket,447682968.00978875,2,0,new_corallites_on_tip
treatment:day,22511940.832783896,1,0,new_corallites_on_tip
treatment:thicket,2583361406.3110304,2,0,new_corallites_on_tip
day:thicket,1635055.403434656,2,0,new_corallites_on_tip
treatment:day:thicket,23594287.1997199,2,0,new_corallites_on_tip
