treatment,wound,n_total,n_alive,n_paled,mean_color,sd_color,prop_paled
28C,no,12,12,1,3.8333333333333335,0.38924947208076144,0.08333333333333333
28C,yes,12,12,0,4,0,0
31C,no,12,12,7,2.25,1.1381803659589922,0.5833333333333334
31C,yes,12,12,8,2.6666666666666665,0.9847319278346619,0.6666666666666666
