variable,PC1,PC2,PC3,PC4
pam_end,0.522,-0.257,-0.813,0.028
color_end,0.525,-0.28,0.401,-0.696
growth_pct,0.412,0.908,-0.025,-0.07
zoox_end,0.532,-0.174,0.421,0.714
