treatment,wound,thicket,n
28C,no,a,16
28C,no,c,16
28C,no,d,16
28C,yes,a,20
28C,yes,c,20
28C,yes,d,16
31C,no,a,16
31C,no,c,17
31C,no,d,16
31C,yes,a,20
31C,yes,c,19
31C,yes,d,16
