response,n_obs,aic_null,aic_genet,delta_aic,lrt_chisq,lrt_df,lrt_p
pam_fvfm,336,-1393.5839130979793,-1444.614155785683,-51.03024268770355,79.03024268770355,14,4.2796003390660824e-11
color_dscale,336,245.35104200168885,104.03934519678116,-141.31169680490768,169.31169680490768,14,9.430994533462772e-29
log_zoox,192,316.00921728953176,279.7127841887031,-36.296433100828665,64.29643310082866,14,2.0419496012138083e-8
growth_areal,48,206.31191610946388,211.81340363226076,5.501487522796879,6.498512477203121,6,0.36971899487599846
