thicket,mean_sensitivity,median_sensitivity,n_responses,pca_displacement,rank_overall
a,0.42178208506002307,0.9749243917031216,18,3.709775227263097,3
c,-0.03616990324580619,0.02036371267714611,19,1.0222869924241826,1
d,0.2975319859070866,0.8277591924976405,19,3.381705702826046,2
