species,collection_date,coord_lat,coord_long,acclimation_start_date,heat_ramp_start_date,heat_ramp_end_date,thicket ,id,sample,wound,tank,treatment,biopsy_day,biopsy_date,biopsy_notes,Collected in liquid nitrogen?,In DNA/RNA shield?,Sub-samples taken,percent_growth_bw,calculated SA,chlorophyll ug/cm^2,zooxanthellae cells/cm^2
a. pulchra,2025-05-18 00:00:00,17.497351,149.915567,2025-05-18 00:00:00,NA,NA,a,192.0,gene ,no,6.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,3.8782
a. pulchra,2025-05-19 00:00:00,17.49726,149.915809,2025-05-19 00:00:00,NA,NA,d,222.0,gene ,no,6.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,5.0286
a. pulchra,2025-05-19 00:00:00,17.49726,149.915809,2025-05-19 00:00:00,NA,NA,d,238.0,gene ,yes,6.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,4.25
a. pulchra,2025-05-19 00:00:00,17.498075,149.91595,2025-05-19 00:00:00,NA,NA,c,268.0,gene ,yes,6.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,4.1571
a. pulchra,2025-05-19 00:00:00,17.498075,149.91595,2025-05-19 00:00:00,NA,NA,c,280.0,gene ,no,6.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,5.1506
a. pulchra,2025-05-18 00:00:00,17.497351,149.915567,2025-05-18 00:00:00,NA,NA,a,148.0,gene ,no,9.0,28.0,1.0,2025-06-05 00:00:00,wound with branch,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,5.1622
a. pulchra,2025-05-18 00:00:00,17.497351,149.915567,2025-05-18 00:00:00,NA,NA,a,159.0,gene ,yes,9.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,3.9421
a. pulchra,2025-05-19 00:00:00,17.49726,149.915809,2025-05-19 00:00:00,NA,NA,d,227.0,gene ,yes,9.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,5.1157
a. pulchra,2025-05-19 00:00:00,17.49726,149.915809,2025-05-19 00:00:00,NA,NA,d,257.0,gene ,no,9.0,28.0,1.0,2025-06-05 00:00:00,NA,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,4.343
a. pulchra,2025-05-19 00:00:00,17.498075,149.91595,2025-05-19 00:00:00,NA,NA,c,261.0,gene ,no,9.0,28.0,1.0,2025-06-05 00:00:00,original tip with branch,no,2025-06-05 00:00:00,"tip, wound, middle, far",NA,5.1215
