species,thicket ,id,wound,tank,sample,treatment,biopsy_day,plug_buoyant_weight_uncorrected,temp_plug,temp_fw,plug_ref_sw,plug_ref_fw,plug_ref_dry,initial_coral_buoyant_weigh_uncorrected,initial_temp_coral,initial_temp_fw,initial_ref_sw,initial_ref_fw,final_coral_weight_uncorrected,final_temp_coral,final_temp_fw,final_ref_sw,final_ref_fw,,
a. pulchra,a,152.0,yes,4.0,gene/physio,31.0,15.0,3.2968,27.9,27.9,25.7784,26.203,47.395,5.123,30.5,30.5,25.7984,26.2254,5.3464,30.1,30.1,25.7957,26.2227,,
a. pulchra,c,130.0,yes,12.0,gene/physio,28.0,15.0,3.0129,27.9,27.9,25.7784,26.203,47.395,6.2339,27.8,27.8,25.776,26.2003,6.6439,27.9,27.9,25.7784,26.203,,
a. pulchra,c,127.0,no,11.0,gene/physio,31.0,15.0,3.0672,27.9,27.9,25.7784,26.203,47.395,5.5386,30.5,30.5,25.7984,26.2254,5.8744,29.7,29.7,25.7853,26.216,,
a. pulchra,d,128.0,no,11.0,gene/physio,31.0,15.0,3.0578,27.9,27.9,25.7784,26.203,47.395,4.7213,30.5,30.5,25.7984,26.2254,4.97,29.7,29.7,25.7853,26.216,,
a. pulchra,c,123.0,no,6.0,gene/physio,28.0,15.0,3.5126,27.9,27.9,25.7784,26.203,47.395,5.7597,27.8,27.8,25.776,26.2003,6.099,27.9,27.9,25.7784,26.203,,
a. pulchra,d,145.0,no,6.0,gene/physio,28.0,15.0,3.209,27.9,27.9,25.7784,26.203,47.395,5.2082,27.8,27.8,25.776,26.2003,5.5145,27.9,27.9,25.7784,26.203,,
a. pulchra,c,131.0,no,9.0,gene/physio,28.0,15.0,3.225,27.9,27.9,25.7784,26.203,47.395,5.7313,27.8,27.8,25.776,26.2003,6.1274,27.9,27.9,25.7784,26.203,,
a. pulchra,a,172.0,yes,3.0,gene/physio,28.0,15.0,3.3055,27.9,27.9,25.7784,26.203,47.395,5.2353,27.8,27.8,25.776,26.2003,5.5417,27.9,27.9,25.7784,26.203,,
a. pulchra,a,177.0,yes,12.0,gene/physio,28.0,15.0,3.2889,27.9,27.9,25.7784,26.203,47.395,5.2544,27.8,27.8,25.776,26.2003,5.5844,27.9,27.9,25.7784,26.203,,
a. pulchra,a,163.0,no,11.0,gene/physio,31.0,15.0,3.3604,27.9,27.9,25.7784,26.203,47.395,5.7198,30.5,30.5,25.7984,26.2254,6.1518,29.7,29.7,25.7853,26.216,,
a. pulchra,a,166.0,yes,9.0,gene/physio,28.0,15.0,3.109,27.9,27.9,25.7784,26.203,47.395,4.8115,27.8,27.8,25.776,26.2003,5.1356,27.9,27.9,25.7784,26.203,,
a. pulchra,d,146.0,yes,6.0,gene/physio,28.0,15.0,3.1501,27.9,27.9,25.7784,26.203,47.395,4.8423,27.8,27.8,25.776,26.2003,5.1777,27.9,27.9,25.7784,26.203,,
a. pulchra,a,176.0,no,12.0,gene/physio,28.0,15.0,3.0409,27.9,27.9,25.7784,26.203,47.395,4.8886,27.8,27.8,25.776,26.2003,5.2619,27.9,27.9,25.7784,26.203,,
