species,thicket ,id,wound,tank,sample,treatment,biopsy_day,plug_buoyant_weight_uncorrected,temp_plug,temp_fw,plug_ref_sw,plug_ref_fw,plug_ref_dry,den_fw,density_plug_ref,arag_density,density_sw,calculated_plug,initial_coral_buoyant_weigh_uncorrected,initial_temp_coral,initial_temp_fw,initial_ref_sw,initial_ref_fw,initial_ref_dry,initial_den_fw,initial_density_ref,arag_density,initial_density_sw,initial_calculated_weight,final_coral_weight_uncorrected,final_temp_coral,final_temp_fw,final_ref_sw,final_ref_fw,final_ref_dry,final_den_fw,final_density_ref,arag_density,final_density_sw,final_calculated_weight,initial minus calculated plug,final minus calculated plug,percent_growth_bw,g/day,,,
a. pulchra,d,154.0,no,5.0,gene/physio,31.0,15.0,3.3482,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K2*K2)+(0.000007*K2)+1.0001),=(N2*O2)/(N2-M2),2.93,=(P2*(N2-L2)/N2),=I2/(1-(R2/Q2)),5.27,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V2*V2)+(0.000007*V2)+1.0001),=(Y2*Z2)/(Y2-X2),2.93,=(AA2*(Y2-W2)/Y2),=T2/(1-(AC2/AB2)),5.3692,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG2*AG2)+(0.000007*AG2)+1.0001),=(AJ2*AK2)/(AJ2-AI2),2.93,=(AL2*(AJ2-AH2)/AJ2),=AE2/(1-(AN2/AM2)),=AD2-S2,=AO2-S2,=((AQ2-AP2)/AP2)*100,=(AQ2-AP2)/15,,,
a. pulchra,a,162.0,no,3.0,gene/physio,28.0,15.0,3.2815,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K3*K3)+(0.000007*K3)+1.0001),=(N3*O3)/(N3-M3),2.93,=(P3*(N3-L3)/N3),=I3/(1-(R3/Q3)),6.0794,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V3*V3)+(0.000007*V3)+1.0001),=(Y3*Z3)/(Y3-X3),2.93,=(AA3*(Y3-W3)/Y3),=T3/(1-(AC3/AB3)),6.2527,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG3*AG3)+(0.000007*AG3)+1.0001),=(AJ3*AK3)/(AJ3-AI3),2.93,=(AL3*(AJ3-AH3)/AJ3),=AE3/(1-(AN3/AM3)),=AD3-S3,=AO3-S3,=((AQ3-AP3)/AP3)*100,=(AQ3-AP3)/15,,,
a. pulchra,c,129.0,yes,3.0,gene/physio,28.0,15.0,3.3116,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K4*K4)+(0.000007*K4)+1.0001),=(N4*O4)/(N4-M4),2.93,=(P4*(N4-L4)/N4),=I4/(1-(R4/Q4)),5.8848,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V4*V4)+(0.000007*V4)+1.0001),=(Y4*Z4)/(Y4-X4),2.93,=(AA4*(Y4-W4)/Y4),=T4/(1-(AC4/AB4)),6.048,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG4*AG4)+(0.000007*AG4)+1.0001),=(AJ4*AK4)/(AJ4-AI4),2.93,=(AL4*(AJ4-AH4)/AJ4),=AE4/(1-(AN4/AM4)),=AD4-S4,=AO4-S4,=((AQ4-AP4)/AP4)*100,=(AQ4-AP4)/15,,,
a. pulchra,c,124.0,no,5.0,gene/physio,31.0,15.0,3.22,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K5*K5)+(0.000007*K5)+1.0001),=(N5*O5)/(N5-M5),2.93,=(P5*(N5-L5)/N5),=I5/(1-(R5/Q5)),6.1063,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V5*V5)+(0.000007*V5)+1.0001),=(Y5*Z5)/(Y5-X5),2.93,=(AA5*(Y5-W5)/Y5),=T5/(1-(AC5/AB5)),6.3109,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG5*AG5)+(0.000007*AG5)+1.0001),=(AJ5*AK5)/(AJ5-AI5),2.93,=(AL5*(AJ5-AH5)/AJ5),=AE5/(1-(AN5/AM5)),=AD5-S5,=AO5-S5,=((AQ5-AP5)/AP5)*100,=(AQ5-AP5)/15,,,
a. pulchra,a,175.0,yes,10.0,gene/physio,31.0,15.0,3.203,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K6*K6)+(0.000007*K6)+1.0001),=(N6*O6)/(N6-M6),2.92999999999999,=(P6*(N6-L6)/N6),=I6/(1-(R6/Q6)),4.9458,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V6*V6)+(0.000007*V6)+1.0001),=(Y6*Z6)/(Y6-X6),2.93,=(AA6*(Y6-W6)/Y6),=T6/(1-(AC6/AB6)),5.0773,29.9,29.9,25.7905,26.2186,47.395,=((-0.000005*AG6*AG6)+(0.000007*AG6)+1.0001),=(AJ6*AK6)/(AJ6-AI6),2.93,=(AL6*(AJ6-AH6)/AJ6),=AE6/(1-(AN6/AM6)),=AD6-S6,=AO6-S6,=((AQ6-AP6)/AP6)*100,=(AQ6-AP6)/15,,,
a. pulchra,a,161.0,no,5.0,gene/physio,31.0,15.0,3.0473,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K7*K7)+(0.000007*K7)+1.0001),=(N7*O7)/(N7-M7),2.93,=(P7*(N7-L7)/N7),=I7/(1-(R7/Q7)),5.3316,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V7*V7)+(0.000007*V7)+1.0001),=(Y7*Z7)/(Y7-X7),2.93,=(AA7*(Y7-W7)/Y7),=T7/(1-(AC7/AB7)),5.5157,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG7*AG7)+(0.000007*AG7)+1.0001),=(AJ7*AK7)/(AJ7-AI7),2.93,=(AL7*(AJ7-AH7)/AJ7),=AE7/(1-(AN7/AM7)),=AD7-S7,=AO7-S7,=((AQ7-AP7)/AP7)*100,=(AQ7-AP7)/15,,,
a. pulchra,d,149.0,yes,11.0,gene/physio,31.0,15.0,3.2803,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K8*K8)+(0.000007*K8)+1.0001),=(N8*O8)/(N8-M8),2.92999999999999,=(P8*(N8-L8)/N8),=I8/(1-(R8/Q8)),5.6673,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V8*V8)+(0.000007*V8)+1.0001),=(Y8*Z8)/(Y8-X8),2.93,=(AA8*(Y8-W8)/Y8),=T8/(1-(AC8/AB8)),5.8596,29.7,29.7,25.7853,26.216,47.395,=((-0.000005*AG8*AG8)+(0.000007*AG8)+1.0001),=(AJ8*AK8)/(AJ8-AI8),2.92999999999999,=(AL8*(AJ8-AH8)/AJ8),=AE8/(1-(AN8/AM8)),=AD8-S8,=AO8-S8,=((AQ8-AP8)/AP8)*100,=(AQ8-AP8)/15,,,
a. pulchra,c,141.0,no,4.0,gene/physio,31.0,15.0,3.4187,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K9*K9)+(0.000007*K9)+1.0001),=(N9*O9)/(N9-M9),2.93,=(P9*(N9-L9)/N9),=I9/(1-(R9/Q9)),6.2215,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V9*V9)+(0.000007*V9)+1.0001),=(Y9*Z9)/(Y9-X9),2.93,=(AA9*(Y9-W9)/Y9),=T9/(1-(AC9/AB9)),6.4501,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG9*AG9)+(0.000007*AG9)+1.0001),=(AJ9*AK9)/(AJ9-AI9),2.93,=(AL9*(AJ9-AH9)/AJ9),=AE9/(1-(AN9/AM9)),=AD9-S9,=AO9-S9,=((AQ9-AP9)/AP9)*100,=(AQ9-AP9)/15,,,
a. pulchra,a,165.0,no,4.0,gene/physio,31.0,15.0,3.3003,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K10*K10)+(0.000007*K10)+1.0001),=(N10*O10)/(N10-M10),2.93,=(P10*(N10-L10)/N10),=I10/(1-(R10/Q10)),5.4316,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V10*V10)+(0.000007*V10)+1.0001),=(Y10*Z10)/(Y10-X10),2.93,=(AA10*(Y10-W10)/Y10),=T10/(1-(AC10/AB10)),5.6092,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG10*AG10)+(0.000007*AG10)+1.0001),=(AJ10*AK10)/(AJ10-AI10),2.93,=(AL10*(AJ10-AH10)/AJ10),=AE10/(1-(AN10/AM10)),=AD10-S10,=AO10-S10,=((AQ10-AP10)/AP10)*100,=(AQ10-AP10)/15,,,
a. pulchra,c,121.0,yes,9.0,gene/physio,28.0,15.0,3.0799,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K11*K11)+(0.000007*K11)+1.0001),=(N11*O11)/(N11-M11),2.93,=(P11*(N11-L11)/N11),=I11/(1-(R11/Q11)),6.8003,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V11*V11)+(0.000007*V11)+1.0001),=(Y11*Z11)/(Y11-X11),2.93,=(AA11*(Y11-W11)/Y11),=T11/(1-(AC11/AB11)),7.1165,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG11*AG11)+(0.000007*AG11)+1.0001),=(AJ11*AK11)/(AJ11-AI11),2.93,=(AL11*(AJ11-AH11)/AJ11),=AE11/(1-(AN11/AM11)),=AD11-S11,=AO11-S11,=((AQ11-AP11)/AP11)*100,=(AQ11-AP11)/15,,,
a. pulchra,c,132.0,no,10.0,gene/physio,31.0,15.0,3.1725,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K12*K12)+(0.000007*K12)+1.0001),=(N12*O12)/(N12-M12),2.92999999999999,=(P12*(N12-L12)/N12),=I12/(1-(R12/Q12)),5.7237,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V12*V12)+(0.000007*V12)+1.0001),=(Y12*Z12)/(Y12-X12),2.93,=(AA12*(Y12-W12)/Y12),=T12/(1-(AC12/AB12)),5.9426,29.9,29.9,25.7905,26.2186,47.395,=((-0.000005*AG12*AG12)+(0.000007*AG12)+1.0001),=(AJ12*AK12)/(AJ12-AI12),2.93,=(AL12*(AJ12-AH12)/AJ12),=AE12/(1-(AN12/AM12)),=AD12-S12,=AO12-S12,=((AQ12-AP12)/AP12)*100,=(AQ12-AP12)/15,,,
a. pulchra,d,143.0,yes,4.0,gene/physio,31.0,15.0,3.28,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K13*K13)+(0.000007*K13)+1.0001),=(N13*O13)/(N13-M13),2.93,=(P13*(N13-L13)/N13),=I13/(1-(R13/Q13)),5.3721,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V13*V13)+(0.000007*V13)+1.0001),=(Y13*Z13)/(Y13-X13),2.93,=(AA13*(Y13-W13)/Y13),=T13/(1-(AC13/AB13)),5.5573,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG13*AG13)+(0.000007*AG13)+1.0001),=(AJ13*AK13)/(AJ13-AI13),2.93,=(AL13*(AJ13-AH13)/AJ13),=AE13/(1-(AN13/AM13)),=AD13-S13,=AO13-S13,=((AQ13-AP13)/AP13)*100,=(AQ13-AP13)/15,,,
a. pulchra,d,156.0,no,3.0,gene/physio,28.0,15.0,3.4228,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K14*K14)+(0.000007*K14)+1.0001),=(N14*O14)/(N14-M14),2.93,=(P14*(N14-L14)/N14),=I14/(1-(R14/Q14)),5.4852,27.8,27.8,25.776,26.2003,47.395,=((-0.000005*V14*V14)+(0.000007*V14)+1.0001),=(Y14*Z14)/(Y14-X14),2.93,=(AA14*(Y14-W14)/Y14),=T14/(1-(AC14/AB14)),5.6792,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*AG14*AG14)+(0.000007*AG14)+1.0001),=(AJ14*AK14)/(AJ14-AI14),2.93,=(AL14*(AJ14-AH14)/AJ14),=AE14/(1-(AN14/AM14)),=AD14-S14,=AO14-S14,=((AQ14-AP14)/AP14)*100,=(AQ14-AP14)/15,,,
a. pulchra,c,115.0,yes,5.0,gene/physio,31.0,15.0,3.0651,27.9,27.9,25.7784,26.203,47.395,=((-0.000005*K15*K15)+(0.000007*K15)+1.0001),=(N15*O15)/(N15-M15),2.93,=(P15*(N15-L15)/N15),=I15/(1-(R15/Q15)),5.7326,30.5,30.5,25.7984,26.2254,47.395,=((-0.000005*V15*V15)+(0.000007*V15)+1.0001),=(Y15*Z15)/(Y15-X15),2.93,=(AA15*(Y15-W15)/Y15),=T15/(1-(AC15/AB15)),5.9896,30.1,30.1,25.7957,26.2227,47.395,=((-0.000005*AG15*AG15)+(0.000007*AG15)+1.0001),=(AJ15*AK15)/(AJ15-AI15),2.93,=(AL15*(AJ15-AH15)/AJ15),=AE15/(1-(AN15/AM15)),=AD15-S15,=AO15-S15,=((AQ15-AP15)/AP15)*100,=(AQ15-AP15)/15,,,
