zoox_average,Coral ID
4.3125,110.0
43.0625,111.0
24.125,112.0
39.0,113.0
26.0625,114.0
22.25,115.0
17.5,116.0
49.1875,117.0
37.8125,118.0
25.5625,119.0
0.875,120.0
65.875,121.0
32.125,122.0
35.875,123.0
11.1875,124.0
60.5,125.0
1.8125,126.0
20.0625,127.0
5.9375,128.0
31.875,129.0
51.25,130.0
39.25,131.0
13.125,132.0
17.3125,133.0
42.5625,134.0
55.5625,135.0
8.5625,136.0
47.8125,137.0
11.8125,138.0
47.1875,139.0
56.4375,140.0
12.8125,141.0
7.375,142.0
3.6875,143.0
36.75,144.0
25.1875,145.0
43.75,146.0
44.1875,147.0
58.625,148.0
10.9375,149.0
4.4375,150.0
50.8125,151.0
8.375,152.0
19.3125,153.0
1.5,154.0
20.5,155.0
33.25,156.0
37.75,157.0
10.3125,158.0
45.4375,159.0
29.9375,160.0
0.5625,161.0
37.3125,162.0
24.9375,163.0
103.25,164.0
2.25,165.0
36.375,166.0
41.125,167.0
37.5,168.0
51.3125,169.0
0.8125,170.0
26.0,171.0
25.0,172.0
36.625,173.0
13.9375,174.0
0.75,175.0
32.625,176.0
36.875,177.0
2.4375,178.0
58.75,179.0
7.0625,180.0
39.875,181.0
27.1875,182.0
18.375,183.0
7.1875,184.0
17.75,185.0
15.0,186.0
49.8125,187.0
17.75,188.0
29.5,189.0
43.8125,190.0
31.4375,191.0
58.125,192.0
14.0625,193.0
45.6875,194.0
15.8125,195.0
34.6875,196.0
20.625,197.0
27.125,198.0
50.9375,199.0
34.0625,200.0
33.0,201.0
40.125,202.0
59.4375,203.0
52.0625,204.0
17.3125,205.0
31.625,206.0
13.375,207.0
39.4375,208.0
24.3125,209.0
23.5,210.0
27.875,211.0
72.75,212.0
43.125,213.0
13.9375,214.0
37.1875,215.0
31.375,216.0
40.6875,217.0
51.1875,218.0
16.6875,219.0
44.375,220.0
20.0,221.0
36.0625,222.0
45.375,223.0
32.0625,224.0
21.625,225.0
32.75,226.0
58.3125,227.0
39.375,228.0
18.875,229.0
13.1875,230.0
40.3125,231.0
35.625,232.0
3.5625,233.0
71.5625,234.0
9.0,235.0
27.6875,236.0
46.0,237.0
52.125,238.0
26.125,239.0
23.5625,240.0
13.875,241.0
44.4375,242.0
53.8125,243.0
36.0,244.0
57.1875,245.0
48.75,246.0
36.375,247.0
38.0625,248.0
47.0625,249.0
47.8125,250.0
30.125,251.0
52.25,252.0
57.5625,253.0
29.75,254.0
44.4375,255.0
45.75,256.0
54.3125,257.0
50.375,258.0
18.75,259.0
40.875,260.0
54.0,261.0
66.25,262.0
35.9375,263.0
34.3125,264.0
48.1875,265.0
35.3125,266.0
67.3125,267.0
62.125,268.0
55.375,269.0
23.375,270.0
72.0,271.0
44.875,272.0
28.3125,273.0
45.0,274.0
56.0,275.0
38.1875,276.0
20.375,277.0
46.9375,278.0
36.625,279.0
48.875,280.0
58.1875,281.0
47.6875,282.0
24.4375,283.0
40.6875,284.0
44.0,285.0
23.3125,286.0
49.375,287.0
37.5,288.0
32.75,289.0
44.5625,290.0
56.8125,291.0
48.5625,292.0
35.0625,293.0
48.9375,294.0
38.0625,295.0
27.0,296.0
42.375,297.0
62.9375,298.0
40.8125,299.0
34.875,300.0
43.75,301.0
