normal density (cells/cm^2),calculated_SA_standard_curve,slurry volume (mL),average*10000 (cells/mL),biopsy_day,treatment,zoox_average,Coral ID,calculated_SA_standard_curve,slurry volume (mL)
=(D2*C2)/B2,3.6226,10.0,=(G2*10000),1.0,28.0,43.0625,111.0,3.6226,10.0
=(D3*C3)/B3,3.7969,10.0,=(G3*10000),1.0,28.0,56.4375,140.0,3.7969,10.0,,day 1,day 3,day 10,day 15
=(D4*C4)/B4,5.1622,10.0,=(G4*10000),1.0,28.0,58.625,148.0,5.1622,10.0,ambient,=average(A2:A25),=average(A26:A49),=average(A50:A73),=average(A74:A97)
=(D5*C5)/B5,4.4941,10.0,=(G5*10000),1.0,28.0,50.8125,151.0,4.4941,10.0,heated,=average(A98:A121),=average(A122:A145),=average(A146:A169),=average(A170:A193)
=(D6*C6)/B6,3.9421,10.0,=(G6*10000),1.0,28.0,45.4375,159.0,3.9421,10.0
=(D7*C7)/B7,6.9517,10.0,=(G7*10000),1.0,28.0,103.25,164.0,6.9517,10.0,,=STDEV((A2:A25)),=STDEV(A26:A49),=STDEV(A50:A73),=STDEV((A74:A97))
=(D8*C8)/B8,3.8782,10.0,=(G8*10000),1.0,28.0,58.125,192.0,3.8782,10.0,,=STDEV((A98:A121)),=STDEV(A122:A145),=STDEV((A146:A169)),=stdev(A170:A193)
=(D9*C9)/B9,5.0867,10.0,=(G9*10000),1.0,28.0,59.4375,203.0,5.0867,10.0
=(D10*C10)/B10,3.8666,10.0,=(G10*10000),1.0,28.0,24.3125,209.0,3.8666,10.0,,=L7/L4,=M7/M4,=N7/N4,=O7/O4
=(D11*C11)/B11,5.0286,10.0,=(G11*10000),1.0,28.0,36.0625,222.0,5.0286,10.0,,=L8/L5,=M8/M5,=N8/N5,=O8/O5
=(D12*C12)/B12,5.1157,10.0,=(G12*10000),1.0,28.0,58.3125,227.0,5.1157,10.0
=(D13*C13)/B13,3.3146,10.0,=(G13*10000),1.0,28.0,40.3125,231.0,3.3146,10.0
=(D14*C14)/B14,5.8652,10.0,=(G14*10000),1.0,28.0,71.5625,234.0,5.8652,10.0
=(D15*C15)/B15,4.25,10.0,=(G15*10000),1.0,28.0,52.125,238.0,4.25,10.0
=(D16*C16)/B16,5.046,10.0,=(G16*10000),1.0,28.0,48.75,246.0,5.046,10.0
=(D17*C17)/B17,4.343,10.0,=(G17*10000),1.0,28.0,54.3125,257.0,4.343,10.0
=(D18*C18)/B18,5.1215,10.0,=(G18*10000),1.0,28.0,54.0,261.0,5.1215,10.0
=(D19*C19)/B19,4.1571,10.0,=(G19*10000),1.0,28.0,62.125,268.0,4.1571,10.0
=(D20*C20)/B20,5.1506,10.0,=(G20*10000),1.0,28.0,48.875,280.0,5.1506,10.0
=(D21*C21)/B21,4.6858,10.0,=(G21*10000),1.0,28.0,49.375,287.0,4.6858,10.0
=(D22*C22)/B22,4.2442,10.0,=(G22*10000),1.0,28.0,37.5,288.0,4.2442,10.0
=(D23*C23)/B23,3.8608,10.0,=(G23*10000),1.0,28.0,48.9375,294.0,3.8608,10.0
=(D24*C24)/B24,2.7046,10.0,=(G24*10000),1.0,28.0,27.0,296.0,2.7046,10.0
=(D25*C25)/B25,3.7969,10.0,=(G25*10000),1.0,28.0,62.9375,298.0,3.7969,10.0
=(D26*C26)/B26,5.4818,10.0,=(G26*10000),3.0,28.0,42.5625,134.0,5.4818,10.0
=(D27*C27)/B27,5.5341,10.0,=(G27*10000),3.0,28.0,37.75,157.0,5.5341,10.0
=(D28*C28)/B28,2.9777,10.0,=(G28*10000),3.0,28.0,29.9375,160.0,2.9777,10.0
=(D29*C29)/B29,4.7323,10.0,=(G29*10000),3.0,28.0,41.125,167.0,4.7323,10.0
