species,thicket ,id,sample,wound,tank,treatment,biopsy_date,biopsy_notes,biopsy_day,biopsy_segment,box,Collected in liquid nitrogen?,In DNA/RNA shield?
a. pulchra,d,203.0,gene ,yes,3.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,a,209.0,gene ,yes,3.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,c,296.0,gene ,yes,3.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,a,160.0,gene ,yes,3.0,28.0,2025-06-07 00:00:00,NA,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,d,247.0,gene ,yes,3.0,28.0,2025-06-07 00:00:00,wound has growing tip already,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,c,250.0,gene ,yes,3.0,28.0,2025-06-07 00:00:00,NA,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,a,191.0,gene ,yes,3.0,28.0,2025-06-14 00:00:00,tip with extension,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,d,258.0,gene ,yes,3.0,28.0,2025-06-14 00:00:00,tip with extension,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,c,291.0,gene ,yes,3.0,28.0,2025-06-14 00:00:00,tip with extension,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,d,113.0,gene/physio,yes,3.0,28.0,2025-06-19 00:00:00,NA,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,c,129.0,gene/physio,yes,3.0,28.0,2025-06-19 00:00:00,"nearly healed but not indistinguishable, Zoox sample has branch ",0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,a,172.0,gene/physio,yes,3.0,28.0,2025-06-19 00:00:00,nearly healed but not indistinguishable ,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,a,140.0,gene ,yes,6.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,d,238.0,gene ,yes,6.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,c,268.0,gene ,yes,6.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,a,208.0,gene ,yes,6.0,28.0,2025-06-07 00:00:00,NA,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,d,245.0,gene ,yes,6.0,28.0,2025-06-07 00:00:00,NA,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,c,282.0,gene ,yes,6.0,28.0,2025-06-07 00:00:00,wound looks covered in coenosarc,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,a,135.0,gene ,yes,6.0,28.0,2025-06-14 00:00:00,wound is smooth and tip exists but without extension,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,d,248.0,gene ,yes,6.0,28.0,2025-06-14 00:00:00,tip with extension,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,c,292.0,gene ,yes,6.0,28.0,2025-06-14 00:00:00,tip has extension,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,c,117.0,gene/physio,yes,6.0,28.0,2025-06-19 00:00:00,wound still obvious,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,d,146.0,gene/physio,yes,6.0,28.0,2025-06-19 00:00:00,wound still obvious,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,a,179.0,gene/physio,yes,6.0,28.0,2025-06-19 00:00:00,wound still obvious,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
a. pulchra,a,159.0,gene ,yes,9.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,d,227.0,gene ,yes,9.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,c,288.0,gene ,yes,9.0,28.0,2025-06-05 00:00:00,NA,0.0,tip,1 or 2,no,2025-06-05 00:00:00
a. pulchra,a,187.0,gene ,yes,9.0,28.0,2025-06-07 00:00:00,NA,0.0,tip,1 or 2,yes,2025-06-19 00:00:00
